"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
sutia-rendado-com-bojo-duhellen-bege-5305;"Sutiã Rendado Com Bojo Duhellen Bege 5305";"Sutiãs > Rendados, 48 Horas\, 48 modelos por 48 reais, 3 Sutiãs por R$129 ";Cor;Bege;Tamanho;"P (42)";;;119.00;79.00;0.10;8.00;16.00;35.00;12;5305BEGP;7,90E+12;SIM;NÃO;;"Sutia Rendado Com Bojo Duhellen Bege 5305";"Sutiã Rendado Com Bojo Duhellen Bege 5305";;"Duhellen Lingerie";SIM;5305BEGP;Feminino;Adulto;30.00
sutia-rendado-com-bojo-duhellen-branco-5305;"Sutiã Rendado Com Bojo Duhellen Branco 5305";"Sutiãs > Rendados, 48 Horas\, 48 modelos por 48 reais, 3 Sutiãs por R$129 ";Cor;Branco;Tamanho;"P (42)";;;119.00;79.00;0.10;8.00;16.00;35.00;3;5305BCOP;7,90E+12;SIM;NÃO;;"Sutia Rendado Com Bojo Duhellen Branco 5305";"Sutiã Rendado Com Bojo Duhellen Branco 5305";;"Duhellen Lingerie";SIM;5305BCOP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;"Sutiã Tomara Que Caia Rendado Animal Print 5312";"Sutiãs > Tomara Que Caia, Sutiãs > ShapeWear, #DuhLovers > Carol Magon, #DuhLovers > Consultora Dai, #DuhLovers > Gabi Camargo, #DuhLovers > Jessica Albuquerque, #DuhLovers > Lara Cunha, #DuhLovers > Larissa Caetano, #DuhLovers > Maria Faceira, #DuhLovers > Pamela Otero, #DuhLovers > Sophia Marins, #DuhLovers > Todas na Modinha, 48 Horas\, 48 modelos por 48 reais, TQC por R$89 ";Cor;"Animal Print";Tamanho;"P (42)";"Largura do Tórax";"(70 a 74 cm) P";149.00;89.00;0.10;8.00;16.00;35.00;6;5312ANPP;7,90E+12;SIM;NÃO;;"Sutia Tomara Que Caia Rendado Animal Print 5312";"Sutiã Tomara Que Caia Rendado Animal Print 5312";;"Duhellen Lingerie";SIM;5312ANPP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"P (42)";"Largura do Tórax";"(66 a 70 cm) P/PP";149.00;89.00;0.10;8.00;16.00;35.00;4;5312ANPPCPP;7,90E+12;;;;;;;;;5312ANPPCPP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"P (42)";"Largura do Tórax";"(74 a 78 cm) P/M";149.00;89.00;0.10;8.00;16.00;35.00;12;5312ANPPCM;7,90E+12;;;;;;;;;5312ANPPCM;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"M (44)";"Largura do Tórax";"(71 a 76 cm) M/P";149.00;89.00;0.10;8.00;16.00;35.00;3;5312ANPMCP;7,90E+12;;;;;;;;;5312ANPMCP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"M (44)";"Largura do Tórax";"(78 a 82 cm) M/G";149.00;89.00;0.10;8.00;16.00;35.00;0;5312ANPMCG;7,90E+12;;;;;;;;;5312ANPMCG;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"GG (48)";"Largura do Tórax";"(70 a 74 cm) GG/PP";149.00;89.00;0.10;8.00;16.00;35.00;8;5312ANPGGCPP;7,90E+12;;;;;;;;;5312ANPGGCPP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"GG (48)";"Largura do Tórax";"(74 a 78 cm) GG/P";149.00;89.00;0.10;8.00;16.00;35.00;3;5312ANPGGCP;7,90E+12;;;;;;;;;5312ANPGGCP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"GG (48)";"Largura do Tórax";"(76 a 80 cm) GG/M";149.00;89.00;0.10;8.00;16.00;35.00;1;5312ANPGGCM;7,90E+12;;;;;;;;;5312ANPGGCM;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"GG (48)";"Largura do Tórax";"(101 a 107 cm) GG/EG";149.00;89.00;0.10;8.00;16.00;35.00;4;5312ANPGGCEG;7,90E+12;;;;;;;;;5312ANPGGCEG;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"XG (50)";"Largura do Tórax";"(92 a 100 cm) XG";149.00;89.00;0.10;8.00;16.00;35.00;10;5312ANPXG;7,90E+12;;;;;;;;;5312ANPXG;Feminino;Adulto;30.00
